City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Cockburn Town,TC,21.4612,-71.1419,77.22,75,99,18.05,overcast clouds
183,Thompson,CA,55.7435,-97.8558,28.56,86,75,2.3,broken clouds
184,Las Guacamayas,MX,18.0167,-102.2167,73.08,69,0,3.69,clear sky
185,Gunib,RU,42.3876,46.9651,83.59,23,2,3.49,clear sky
186,Haines Junction,CA,60.7522,-137.5108,44.55,57,99,5.75,overcast clouds
187,Ancud,CL,-41.8697,-73.8203,48.42,85,89,2.71,overcast clouds
188,Kajansi,UG,0.2081,32.5222,75.88,66,37,4.34,light rain
189,Yarensk,RU,62.1675,49.0916,61.02,62,70,13.24,light rain
190,Tuktoyaktuk,CA,69.4541,-133.0374,29.39,86,14,16.04,few clouds
191,Mabaruma,GY,8.2,-59.7833,73.65,96,51,3.91,broken clouds
192,Kodiak,US,57.79,-152.4072,41.81,92,63,3.4,broken clouds
193,George,ZA,-33.963,22.4617,47.75,76,0,4.61,clear sky
194,Bar Harbor,US,44.3876,-68.2039,55.24,75,90,4.0,overcast clouds
195,Kulhudhuffushi,MV,6.6221,73.07,83.41,78,100,19.13,light rain
196,Camalu,MX,30.85,-116.0667,55.42,79,3,10.09,clear sky
197,Aransas Pass,US,27.9095,-97.15,77.23,94,90,5.01,overcast clouds
198,Niteroi,BR,-22.8833,-43.1036,71.58,84,40,4.59,scattered clouds
199,Yaan,NG,7.3833,8.5667,78.67,80,87,4.83,overcast clouds
200,Sinnamary,GF,5.3833,-52.95,77.09,90,100,10.69,overcast clouds
201,Torbay,CA,47.6666,-52.7314,52.68,84,1,29.93,clear sky
202,Rehoboth,NA,-23.3167,17.0833,54.79,50,0,7.11,clear sky
203,Grand Gaube,MU,-20.0064,57.6608,77.38,58,74,8.99,broken clouds
204,Launceston,AU,-41.45,147.1667,55.15,79,0,3.0,clear sky
205,Amarillo,US,35.222,-101.8313,66.61,74,1,8.01,clear sky
206,Havoysund,NO,70.9963,24.6622,34.68,63,100,22.44,overcast clouds
207,Chapais,CA,49.7834,-74.8492,64.18,95,100,9.57,overcast clouds
208,Kudahuvadhoo,MV,2.6708,72.8944,84.06,71,88,13.85,overcast clouds
209,Goderich,CA,43.7501,-81.7165,68.32,64,100,4.61,overcast clouds
210,Shimoda,JP,34.6667,138.95,70.16,85,100,20.74,moderate rain
211,Saskylakh,RU,71.9167,114.0833,28.71,82,39,5.37,scattered clouds
212,Baleshwar,IN,21.4942,86.9317,96.3,46,12,10.29,few clouds
213,Kirov,RU,58.5966,49.6601,56.07,92,100,7.47,light rain
214,Muros,ES,42.7762,-9.0603,50.99,73,100,11.59,overcast clouds
215,Quelimane,MZ,-17.8786,36.8883,69.75,100,75,3.44,broken clouds
216,Castro,BR,-24.7911,-50.0119,58.62,86,100,12.19,light rain
217,Sisimiut,GL,66.9395,-53.6735,27.57,77,100,6.71,overcast clouds
218,Yellowknife,CA,62.456,-114.3525,43.32,52,20,1.99,few clouds
219,Carnarvon,AU,-24.8667,113.6333,80.67,41,100,14.97,overcast clouds
220,Prince Rupert,CA,54.3161,-130.3201,53.29,71,90,4.61,light rain
221,Sitka,US,57.0531,-135.33,48.09,87,90,11.5,light rain
222,Ozernovskiy,RU,51.5,156.5167,38.17,84,86,10.09,overcast clouds
223,Wanning,CN,18.8003,110.3967,90.19,66,12,14.52,few clouds
224,Antalaha,MG,-14.9003,50.2788,75.4,80,61,12.37,light rain
225,Namibe,AO,-15.1961,12.1522,75.18,59,0,5.19,clear sky
226,Sakakah,SA,29.9697,40.2064,83.77,16,55,14.92,broken clouds
227,Mayo,US,38.8876,-76.5119,68.09,72,66,1.99,broken clouds
228,Savinka,RU,50.0785,47.0994,84.79,31,89,14.12,overcast clouds
229,Altay,CN,47.8667,88.1167,55.18,25,7,10.13,clear sky
230,Nynashamn,SE,58.9034,17.9479,56.16,77,90,9.35,overcast clouds
231,Beira,MZ,-19.8436,34.8389,69.89,100,75,4.16,broken clouds
232,Bam,IR,29.106,58.357,89.13,9,0,13.06,clear sky
233,Kayes,ML,14.0,-11.0,84.7,17,27,5.93,scattered clouds
234,Dongsheng,CN,39.8161,109.9776,53.98,52,100,30.11,light rain
235,Talakan,RU,50.3167,130.3667,87.55,28,1,10.07,clear sky
236,Tema,GH,5.667,-0.0166,79.21,79,0,8.84,clear sky
237,Pryazha,RU,61.6926,33.6216,47.43,93,100,13.0,light rain
238,Maragogi,BR,-9.0122,-35.2225,76.19,80,100,7.02,overcast clouds
239,Macusani,PE,-14.0833,-70.4333,32.16,79,70,2.35,broken clouds
240,Sur,OM,22.5667,59.5289,97.47,36,0,9.19,clear sky
241,Lompoc,US,34.6391,-120.4579,54.37,68,90,9.22,overcast clouds
242,Sorland,NO,67.667,12.6934,41.41,76,100,27.34,overcast clouds
243,Grants,US,35.1473,-107.8514,52.03,54,1,9.22,clear sky
244,Camargo,MX,27.6667,-105.1667,77.09,18,90,1.95,overcast clouds
245,Hofn,IS,64.2539,-15.2082,39.22,56,100,15.5,light rain
246,Ordynskoye,RU,54.3656,81.8994,57.78,77,96,10.31,overcast clouds
247,Paracuru,BR,-3.41,-39.0306,78.82,88,21,9.6,few clouds
248,Norman Wells,CA,65.282,-126.8329,59.04,38,75,5.75,broken clouds
249,Yerbogachen,RU,61.2767,108.0108,54.07,30,100,0.34,overcast clouds
250,Kinablangan,PH,7.6947,126.5503,84.42,75,36,7.47,scattered clouds
251,Pangkalanbuun,ID,-2.6833,111.6167,85.82,71,95,3.42,light rain
252,Iranshahr,IR,27.2025,60.6848,98.94,8,0,9.22,clear sky
253,Pindi Gheb,PK,33.2402,72.2661,95.14,16,0,5.88,clear sky
254,Gari,RU,59.4307,62.3497,76.19,38,100,15.05,overcast clouds
255,Nehe,CN,48.4833,124.8333,93.67,17,52,21.81,broken clouds
256,Carballo,ES,43.213,-8.691,51.55,90,99,5.28,overcast clouds
257,Morant Bay,JM,17.8815,-76.4093,80.22,84,100,11.86,overcast clouds
258,Asau,RO,46.4333,26.4,64.96,57,100,4.12,overcast clouds
259,Eyl,SO,7.9803,49.8164,86.83,52,100,21.68,overcast clouds
260,Krasnorechenskiy,RU,44.6265,135.3532,70.5,41,18,12.48,few clouds
261,Cabedelo,BR,-6.9811,-34.8339,72.27,62,100,11.27,overcast clouds
262,Ust-Kuyga,RU,70.0167,135.6,33.48,68,100,7.47,overcast clouds
263,Lima,PE,-12.0432,-77.0282,63.14,82,90,9.22,overcast clouds
264,Mungwi,ZM,-10.1732,31.3694,65.73,50,32,6.89,scattered clouds
265,Florianopolis,BR,-27.6146,-48.5012,68.63,97,75,1.99,moderate rain
266,Loanda,AO,-8.8368,13.2343,75.2,94,40,2.3,scattered clouds
267,Sao Filipe,CV,14.8961,-24.4956,71.74,78,3,9.69,clear sky
268,Ostersund,SE,63.1792,14.6357,47.61,61,100,5.75,overcast clouds
269,Hambantota,LK,6.1241,81.1185,86.34,67,40,20.96,scattered clouds
