City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
270,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
279,Dangtu,CN,84.25,few clouds,31.5723,118.4928,City Bianjie Hotel Maanshan Dangtu
281,Thinadhoo,MV,84.38,overcast clouds,0.5333,72.9333,
282,Mitsamiouli,KM,81.12,clear sky,-11.3847,43.2844,Foyer ADM
283,Luebo,CD,77.92,overcast clouds,-5.35,21.4167,
287,Dharmadam,IN,83.62,scattered clouds,11.7833,75.4333,Samudra Homes
289,Mweka,CD,77.54,overcast clouds,-4.85,21.5667,
292,Omboue,GA,75.87,light rain,-1.5746,9.2618,Hotel Olako
297,Linjiang,CN,81.61,broken clouds,41.8069,126.9078,格林豪泰
303,Alofi,NU,78.69,light rain,-19.0595,-169.9187,Taloa Heights
305,Gat,IL,75.78,clear sky,31.61,34.7642,OlusHome
307,Sambava,MG,75.15,light rain,-14.2667,50.1667,Melrose
308,Athens,GR,75.27,clear sky,37.9795,23.7162,Novotel Athenes
310,Kawalu,ID,88.59,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
313,Emba,KZ,84.63,broken clouds,48.8264,58.1442,
315,Srandakan,ID,84.31,broken clouds,-7.9386,110.2506,Puri Brata
320,Alice Springs,AU,76.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
323,Bouza,NE,89.49,clear sky,14.4229,6.0428,
329,Pringsewu,ID,86.76,broken clouds,-5.3582,104.9744,Urban Style by Front One
331,Songjianghe,CN,78.8,light rain,42.1859,127.479,Sijisheng Fashion Guest House
332,Solnechnyy,RU,76.6,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
333,Zhezkazgan,KZ,78.15,clear sky,47.8043,67.7144,Ul. Ranova 15-1 Kvartiry Posutochno.
335,Batticaloa,LK,87.93,overcast clouds,7.7102,81.6924,Grand Star Guest House
338,Akyab,MM,89.85,few clouds,20.15,92.9,Hotel Memory
351,Port Blair,IN,82.74,moderate rain,11.6667,92.75,Welcomhotel Bay Island Port Blair
356,Cururupu,BR,75.06,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
360,Georgetown,MY,89.89,few clouds,5.4112,100.3354,Cititel Penang
363,Tanout,NE,88.56,overcast clouds,14.9709,8.8879,
365,Khandbari,NP,86.41,scattered clouds,27.3747,87.2039,Sainik Hotel And Lodge
369,Asyut,EG,75.38,clear sky,27.181,31.1837,Florence Hotel Assiut
372,Champerico,GT,83.35,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
373,Sabha,LY,88.05,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
374,Hithadhoo,MV,84.16,scattered clouds,-0.6,73.0833,Scoop Guest House
379,Sol-Iletsk,RU,82.67,few clouds,51.1631,54.9918,Raduzhnaya
381,Mount Isa,AU,82.17,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
386,Pontianak,ID,80.58,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
388,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
392,Makaha,US,76.95,few clouds,21.4694,-158.2175,Hawaiian Princess Resort
393,Georgiyevka,KZ,78.84,clear sky,43.0369,74.7114,Gostinitsa Imperiya
401,Melioratorov,RU,79.18,clear sky,57.2107,65.6077,Algorithm hotel
406,Igrim,RU,79.41,clear sky,63.1906,64.4162,Obshchezhitiye Uchebno-Proizvodstvennogo Tsentra
408,Aksarka,RU,77.34,clear sky,66.5606,67.7975,
411,Kuala Terengganu,MY,89.55,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
413,Neiafu,TO,77.68,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
416,Puerto Ayacucho,VE,75.43,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
421,Cap Malheureux,MU,77.47,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
422,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
423,Lamu,KE,82.44,clear sky,-2.2717,40.902,Lamu House
427,Umm Lajj,SA,86.9,clear sky,25.0213,37.2685,Moon light Furnished Units
